mp_no,mp_name,mp_state,works,sanctioned,completed,recommended_total,sanctioned_total,disbursed_total,spent_total,alloc_limit,stalled,zero_disbursal,dup_leads,anomalies,avg_risk_per_work,spend_pct_alloc,cumulative_risk_points,risk_rank
165.0,P. Chidambaram,Tamil Nadu,59,46,46,67959731.0,66811584.0,47840310.0,19255174.0,236312242.52,1,1,0,11,4.661016949152542,8.14819147525561,27,130
18346.0,RAHUL GANDHI,Uttar Pradesh,36,9,2,4699998.0,4699998.0,1000000.0,9339288.0,147000000.0,4,7,0,0,7.777777777777778,6.353257142857142,26,131
18323.0,DR KALGE SHIVAJI BANDAPPA,Maharashtra,23,7,1,14597787.0,8443366.0,999189.0,11803075.0,147000000.0,0,7,0,6,11.304347826086957,8.029302721088435,26,132
196.0,Brij Lal,Uttar Pradesh,121,115,112,24445507.0,21470507.0,10396507.0,6496656.0,196063957.11,3,3,0,5,2.190082644628099,3.3135391612825122,25,133
499.0,Smt Satabdi Roy (Banerjee),West Bengal,23,16,14,10940960.0,10940960.0,9834688.6,574270.0,147000000.0,3,7,0,1,11.521739130434783,0.3906598639455782,25,134
842.0,P. T. Usha,Kerala,31,8,7,15139944.0,11719500.0,7612754.0,13439397.0,196063957.11,3,5,0,3,8.548387096774194,6.854598467815245,25,135
792.0,Jai Prakash,Uttar Pradesh,8,5,2,28685171.0,28685171.0,9711274.0,1466217.0,147000000.0,3,4,0,4,33.125,0.997426530612245,25,136
96.0,Abdul Wahab,Kerala,77,15,34,15914018.0,6135087.0,18338284.0,23275629.0,310898953.29,1,2,0,9,3.311688311688312,7.48655753057135,25,137
18215.0,AWADHESH PRASAD,Uttar Pradesh,54,11,9,16253170.0,14799623.0,11608366.0,13262250.0,147000000.0,4,5,0,1,4.814814814814815,9.021938775510204,24,138
41.0,Faiyaz Ahmad,Bihar,59,37,51,69033528.0,44284728.0,63485570.0,4349178.0,235263957.11,4,5,0,1,4.406779661016949,1.848637612588697,24,139
887.0,Dinesh Sharma,Uttar Pradesh,11,5,1,13426273.0,13426273.0,1508273.0,10492641.0,147000000.0,4,4,0,2,23.636363636363637,7.1378510204081635,24,140
313.0,Shri Tapir Gao,Arunachal Pradesh,51,41,43,43695613.0,43995613.0,44190758.0,2899802.0,147000000.0,0,4,0,8,4.705882352941177,1.9726544217687074,24,141
18095.0,K. C VENUGOPAL,Kerala,20,8,0,20303972.0,10441419.0,0.0,793429.0,147000000.0,0,8,0,3,11.0,0.539747619047619,22,142
18247.0,ARUP CHAKRABORTY,West Bengal,4,4,0,15633815.0,15633815.0,0.0,0.0,147000000.0,4,4,0,1,60.0,0.0,22,143
345.0,Shri NK Premachandran,Kerala,27,18,8,24901354.34,24901354.34,8836876.0,5423481.0,171477994.11,0,10,0,1,8.148148148148149,3.162785422204633,22,144
101.0,Sandosh Kumar P,Kerala,26,8,5,10655936.0,10655936.0,9636034.0,12878566.0,220563957.11,1,7,0,2,8.26923076923077,5.838925891947604,21,145
99.0,John Brittas,Kerala,37,10,23,69996477.0,37716754.0,38184485.0,4402646.0,245063957.11,0,1,0,9,5.405405405405405,1.796529384377735,20,146
517.0,Rajkumar Chahar,Uttar Pradesh,24,17,24,38737158.0,37348334.0,46463149.0,0.0,147000000.0,0,0,0,10,8.333333333333334,0.0,20,147
319.0,Dr Mohammad Jawed,Bihar,72,0,50,26952000.0,0.0,32455000.0,0.0,148669229.11,0,0,5,0,1.7361111111111112,0.0,20,148
18206.0,KRISHNA DEVI SHIVSHANKER PATEL,Uttar Pradesh,166,92,145,24187423.12,24187423.12,33421670.12,3912983.0,147000000.0,4,4,0,0,1.3253012048192772,2.6618931972789115,20,149
18144.0,MALVIKA DEVI,Odisha,61,27,23,17198000.0,11798000.0,9598000.0,4700000.0,147000000.0,4,4,0,0,3.6065573770491803,3.197278911564626,20,150
18217.0,AKSHAYA YADAV,Uttar Pradesh,20,20,20,48855158.0,48855158.0,48853717.0,0.0,147000000.0,0,0,0,9,9.0,0.0,18,151
18425.0,Rekha Sharma,Haryana,21,0,0,0.0,0.0,0.0,9370798.0,98000000.0,0,0,0,9,8.571428571428571,9.562038775510203,18,152
840.0,V. Vijayendra Prasad,Andhra Pradesh,58,38,39,26446176.0,23949768.0,17539135.0,13396604.0,196063957.11,2,2,0,4,3.2758620689655173,6.832772426644408,18,153
18056.0,PARSHOTTAMBHAI RUPALA,Gujarat,26,12,3,5786525.0,5786525.0,1500000.0,6904994.0,147000000.0,0,9,0,0,6.923076923076923,4.697274829931973,18,154
