"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1225","Normal/Others","WS/MP849/2023-2024/61999-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","499952.25"
"1226","Normal/Others","WS/MP849/2023-2024/62038-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","499952"
"1227","Normal/Others","WS/MP849/2023-2024/62039-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 11 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","549946"
"1228","Normal/Others","WS/MP849/2023-2024/62045-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 11 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","549946"
"1229","Normal/Others","WS/MP849/2023-2024/62046-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","499952"
"1230","Normal/Others","WS/MP849/2023-2024/62099-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 9 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","449957"
"1231","Normal/Others","WS/MP849/2023-2024/62106-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 18 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","899911.05"
"1232","Normal/Others","WS/MP053/2023-2024/43869-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM JAGDISH SAH HOUSE NEAR RATAN SAW TO MANOHAR TANTI HOUSE IN WARD 4 DHARHARA DAKCHIN PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","396071"
"1233","Normal/Others","WS/MP053/2023-2024/43859-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM BIPIN MODI HOUSE TO PANKAJ MANDAL HOUSE VIA DEEPAK RAJAK HOUSE IN SOUTH OF DHARHARA BLOCK","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","396106"
"1234","Normal/Others","WS/MP849/2023-2024/61398-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar light 30 watt At two places 1. Near the house of Bhagwan Das 2.  Near the house of ved Prakash Contact number 9917 530 585  Name listed at number 4 and 5 in the attachment.","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","99989.45"
"1235","Normal/Others","WS/MP849/2023-2024/62109-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 15 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","749926.88"
"1236","Normal/Others","WS/MP053/2023-2024/43871-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD WITH NALA FROM ORTHO ROAD VIA PRAMOD YADAV HOUSE TO DAHI YADAV HOUSE IN MANGARH MAHARNNA PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","395118"
"1237","Normal/Others","WS/MP849/2023-2024/62112-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 13 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","649936"
"1238","Normal/Others","WS/MP849/2023-2024/62110-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 3 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","143631"
"1239","Normal/Others","WS/MP849/2023-2024/62114-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 11 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","549946"
"1240","Normal/Others","WS/MP849/2023-2024/62115-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 18 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","899912.05"
"1241","Normal/Others","WS/MP849/2023-2024/62116-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 13 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","649935.43"
"1242","Normal/Others","WS/MP849/2023-2024/62117-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 13 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","649935.43"
"1243","Normal/Others","WS/MP849/2023-2024/62119-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 12 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","599940"
"1244","Normal/Others","WS/MP849/2023-2024/62126-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 13 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","649935"
"1245","Normal/Others","WS/MP849/2023-2024/62131-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 12 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","599940"
"1246","Normal/Others","WS/MP849/2023-2024/61384-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar light 30 watt","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","18-Feb-2026","49995"
"1247","Normal/Others","WS/MP849/2023-2024/62133-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 15 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","18-Feb-2026","749926.88"
"1248","Normal/Others","WS/MP849/2023-2024/62150-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 13 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","649935"
"1249","Normal/Others","WS/MP849/2023-2024/62185-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 20 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","18-Feb-2026","999903"
"1250","Normal/Others","WS/MP849/2023-2024/62187-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","18-Feb-2026","499951"
"1251","Normal/Others","WS/MP849/2023-2024/62191-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 13 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","18-Feb-2026","649936"
"1252","Normal/Others","WS/MP849/2023-2024/62192-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 12 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","18-Feb-2026","599940.7"
"1253","Normal/Others","WS/MP849/2023-2024/62198-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 18 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","899911.05"
"1254","Normal/Others","WS/MP849/2023-2024/62201-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 8 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","399959.8"
"1255","Normal/Others","WS/MP849/2023-2024/61381-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt   Total 2 lights  Amount 2*50000= 100000  Places mentioned on no. 1&2 in the letter.","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","99989.45"
"1256","Normal/Others","WS/MP849/2023-2024/62203-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","499951.25"
"1257","Normal/Others","WS/MP849/2023-2024/61376-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt  Near various public place listed in letter along with the name of concerned person.  Total lights: 22 places   Total amount: 50000 per light  50000*22= 1100000","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","1099892"
"1258","Normal/Others","WS/MP849/2023-2024/62206-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 18 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","899911.05"
"1259","Normal/Others","WS/MP849/2023-2024/62208-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar lights 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","499951.25"
"1260","Normal/Others","WS/MP849/2023-2024/62219-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar light 30 watt Total Place : 16  Amount; 16*50000","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","799922"
"1261","Normal/Others","WS/MP849/2023-2024/62232-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar light 30 watt  At 10 places Total 10*50000= 500000","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","19-Feb-2026","499951"
"1262","Normal/Others","WS/MP015/2023-2024/38311-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Bankers Colony Street West side in Maharaja Nagar,Viraganur,Madurai (SC Area) (Dt).2023-2024","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Feb-2024","997704"
"1263","Normal/Others","WS/MP849/2023-2024/60003-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall i.e for passengers and police etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","24-Jan-2026","989705"
"1264","Normal/Others","WS/MP849/2023-2024/60004-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall i.e for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","24-Jan-2026","989705"
"1265","Normal/Others","WS/MP849/2023-2024/60000-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall i.e for passengers,police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","24-Jan-2026","796263"
"1266","Normal/Others","WS/MP849/2023-2024/60011-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989512"
"1267","Normal/Others","WS/MP849/2023-2024/60012-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","988978"
"1268","Normal/Others","WS/MP849/2023-2024/60013-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989512"
"1269","Normal/Others","WS/MP849/2023-2024/60014-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989512"
"1270","Normal/Others","WS/MP849/2023-2024/60015-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989796"
"1271","Normal/Others","WS/MP849/2023-2024/60016-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989796"
"1272","Normal/Others","WS/MP849/2023-2024/60017-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989810"
"1273","Normal/Others","WS/MP849/2023-2024/60018-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989512"
"1274","Normal/Others","WS/MP849/2023-2024/60019-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","24-Jan-2026","988978"
"1275","Normal/Others","WS/MP849/2023-2024/62310-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multipurpose waiting hall for passengers and police personnel","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","24-Jan-2026","988978"
"1276","Normal/Others","WS/MP849/2023-2024/60001-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall i.e for passengers, police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","796263"
"1277","Normal/Others","WS/MP849/2023-2024/60009-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989512"
"1278","Normal/Others","WS/MP849/2023-2024/60008-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989512"
"1279","Normal/Others","WS/MP849/2023-2024/60007-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989705"
"1280","Normal/Others","WS/MP849/2023-2024/60006-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multi purpose waiting hall i.e for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989705"
"1281","Normal/Others","WS/MP849/2023-2024/60005-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Multipurpose waiting hall i.e for passengers and police personnel etc","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","23-Jan-2026","989705"
"1282","Normal/Others","WS/MP203/2023-2024/22335-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Chandhasi, Vard No. 12 Pandit Deendayaal Updhyaay Nagar ke vrindavan mod ke shyaam prakaash sharma ke makaan se Satish Gupta ke makaan tak lagbhag 200 Meters interlocking Kaary.","Smt. Darshana Singh (2022-28) (NaN-NaN)","Elected MP","Images","21-Sep-2025","979390"
"1283","Normal/Others","WS/MP107/2023-2024/90530-Construction of culverts and bridges","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Construction of culvert","Smt. Sumitra Balmik (2022-28) (NaN-NaN)","Elected MP","Images","25-Mar-2026","1500000"
"1284","Normal/Others","WS/MP192/2023-2024/13222-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Cc Road woek . 112mrt Village.Bahpur me panchayatghar se Falavada Road ki taraf. District Urban Development Agency. Muzaffarnagar. Contact-Sh. Sanjeev Balyan ji 01123380379, 09219583101","Shri Surendra Singh Nagar (2022-28) (NaN-NaN)","Elected MP","N/A","28-Jan-2025","898900"
"1285","Normal/Others","WS/MP165/2023-2024/95943-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of a new building for MORTUARY in Govt District HQ Hospital, Karaikkudi for the year 2023-24","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","N/A","02-May-2025","8952413"
"1286","Normal/Others","WS/MP195/2023-2024/33106-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Water Cooler (Voltas 80x120 ltrs) with water supply connection","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","20-Nov-2024","280643"
"1287","Normal/Others","WS/MP195/2023-2024/33110-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Water Cooler (Voltas 80x120 ltrs) with water supply connection","Shri B.L. Verma (2020-26) (NaN-NaN)","Elected MP","Images","20-Nov-2024","280643"
